"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Type.of.Breach","Location.of.Breached.Information","month","year"
"ZSFG Hospital and Trauma Center","CA","Healthcare Provider",755,"Loss","Paper/Films",4,2024
"Politzer and Durocher, PLC d/b/a Optometric Physicians of Middle Tennessee","TN","Healthcare Provider",29000,"Hacking/IT Incident","Network Server",4,2024
"Cattaraugus-Allegany Board of Cooperative Education Services","NY","Business Associate",15203,"Hacking/IT Incident","Network Server",4,2024
"UNC Hospitals","NC","Healthcare Provider",3142,"Hacking/IT Incident","Email",4,2024
"Advanced Care Hospital of Montana","MT","Healthcare Provider",2331,"Hacking/IT Incident","Network Server",4,2024
"Continuum Health Alliance, LLC","NJ","Business Associate",1328,"Hacking/IT Incident","Network Server",4,2024
"Rutgers Robert Wood Johnson Medical School","NJ","Healthcare Provider",543,"Unauthorized Access/Disclosure","Email",4,2024
"University of Tennessee Health Science Center","TN","Healthcare Provider",19353,"Hacking/IT Incident","Network Server",4,2024
"Otolaryngology Associates, LLC","IN","Healthcare Provider",316802,"Hacking/IT Incident","Network Server",4,2024
"Northern Virginia Oral, Maxillofacial & Implant Surgery ","VA","Healthcare Provider",4333,"Hacking/IT Incident","Network Server",3,2024
"PRATT MRI LLC","KS","Business Associate",4265,"Loss","Other Portable Electronic Device",3,2024
"South Texas Rehabilitation Hospital","TX","Healthcare Provider",4130,"Hacking/IT Incident","Network Server",3,2024
"Rehabilitation Hospital of Northern Indiana","IN","Healthcare Provider",1643,"Hacking/IT Incident","Network Server",3,2024
"Rehabilitation Hospital of Northern Arizona ","AZ","Healthcare Provider",3287,"Hacking/IT Incident","Network Server",3,2024
"Mesquite Rehabilitation Institute ","TX","Healthcare Provider",3317,"Hacking/IT Incident","Network Server",3,2024
"Northern Utah Rehabilitation Hospital","UT","Healthcare Provider",3477,"Hacking/IT Incident","Network Server",3,2024
"Northern Idaho Advanced Care Hospital","ID","Healthcare Provider",5606,"Hacking/IT Incident","Network Server",3,2024
"County of Los Angeles Department of Health Services - Olive View-UCLA Medical Center","CA","Healthcare Provider",3716,"Theft","Paper/Films",3,2024
"Mesquite Specialty Hospital ","TX","Healthcare Provider",1244,"Hacking/IT Incident","Network Server",3,2024
"Baylor College of Medicine","TX","Healthcare Provider",801,"Unauthorized Access/Disclosure","Laptop",3,2024
"Laredo Specialty Hospital","TX","Healthcare Provider",1242,"Hacking/IT Incident","Network Server",3,2024
"Laredo Rehabilitation Hospital","TX","Healthcare Provider",1785,"Hacking/IT Incident","Network Server",3,2024
"Elkhorn Valley Rehabilitation Hospital","WY","Healthcare Provider",3636,"Hacking/IT Incident","Network Server",3,2024
"Spartanburg Rehabilitation Institute","SC","Healthcare Provider",4506,"Hacking/IT Incident","Network Server",3,2024
"Weslaco Regional Rehabilitation Hospital","TX","Healthcare Provider",2781,"Hacking/IT Incident","Network Server",3,2024
"Utah Valley Rehabilitation Hospital","UT","Healthcare Provider",1642,"Hacking/IT Incident","Network Server",3,2024
"Trustpoint Rehabilitation Hospital of Lubbock","TX","Healthcare Provider",9014,"Hacking/IT Incident","Network Server",3,2024
"Denver Regional Rehabilitation Hospital","CO","Healthcare Provider",848,"Hacking/IT Incident","Network Server",3,2024
"Summa Rehabilitation Hospital","OH","Healthcare Provider",2986,"Hacking/IT Incident","Network Server",3,2024
"Bloomington Regional Rehabilitation Hospital","IN","Healthcare Provider",1191,"Hacking/IT Incident","Network Server",3,2024
"Rehabilitation Hospital of the Northwest","ID","Healthcare Provider",3821,"Hacking/IT Incident","Network Server",3,2024
"Rehabilitation Hospital of Southern New Mexico","NM","Healthcare Provider",5466,"Hacking/IT Incident","Network Server",3,2024
"Bakersfield Rehabilitation Hospital","CA","Healthcare Provider",852,"Hacking/IT Incident","Network Server",3,2024
"Rehabilitation Hospital of Southern California","CA","Healthcare Provider",925,"Hacking/IT Incident","Network Server",3,2024
"Rehabilitation Hospital of Northwest Ohio","OH","Healthcare Provider",3671,"Hacking/IT Incident","Network Server",3,2024
"Northern Colorado Rehabilitation Hospital","CO","Healthcare Provider",885,"Hacking/IT Incident","Network Server",3,2024
"Northern Colorado Long Term Acute Hospital","CO","Healthcare Provider",4335,"Hacking/IT Incident","Network Server",3,2024
"New Braunfels Regional Rehabilitation Hospital","TX","Healthcare Provider",5384,"Hacking/IT Incident","Network Server",3,2024
"Mountain Valley Regional Rehabilitation Hospital","AZ","Healthcare Provider",5963,"Hacking/IT Incident","Network Server",3,2024
"Advanced Care Hospital of Southern New Mexico","NM","Healthcare Provider",1162,"Hacking/IT Incident","Network Server",3,2024
"Midlands Regional Rehabilitation Hospital","SC","Healthcare Provider",2018,"Hacking/IT Incident","Network Server",3,2024
"Lafayette Regional Rehabilitation Hospital","IN","Healthcare Provider",2861,"Hacking/IT Incident","Network Server",3,2024
"Greenwood Regional Rehabilitation Hospital","SC","Healthcare Provider",5823,"Hacking/IT Incident","Network Server",3,2024
"Corpus Christi Rehabilitation Hospital","TX","Healthcare Provider",3581,"Hacking/IT Incident","Network Server",3,2024
"Highmark","PA","Health Plan",5356,"Unauthorized Access/Disclosure","Paper/Films",3,2024
"Florida Pediatric Associates, LLC ","FL","Healthcare Provider",1104,"Hacking/IT Incident","Network Server",3,2024
"Strive Holdco, LLC","TX","Healthcare Provider",501,"Unauthorized Access/Disclosure","Network Server",3,2024
"Risas Dental & Braces","PA","Healthcare Provider",618189,"Hacking/IT Incident","Network Server",3,2024
"UT Southwestern Medical Center","TX","Healthcare Provider",1956,"Unauthorized Access/Disclosure","Network Server",3,2024
"Washington County Department of Human Services","PA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",3,2024
"Baytown Medical Center, L.P.","TX","Healthcare Provider",1500,"Unauthorized Access/Disclosure","Network Server",3,2024
"Pembina County Memorial Hospital","ND","Healthcare Provider",23811,"Hacking/IT Incident","Network Server",3,2024
"Family Health Center ","MI","Healthcare Provider",33240,"Hacking/IT Incident","Network Server",3,2024
"Robert Peterson DD.S. PC","OR","Healthcare Provider",6500,"Theft","Paper/Films",3,2024
"Designed Receivable Solutions, Inc.","CA","Business Associate",129584,"Hacking/IT Incident","Network Server",3,2024
"Human Development Services of Westchester, Inc.","NY","Healthcare Provider",506,"Hacking/IT Incident","Email",3,2024
"Mary H. Makhlouf, DMD, MS, PA","NC","Healthcare Provider",1797,"Hacking/IT Incident","Network Server",3,2024
"Ethos, also known as Southwest Boston Senior Services","MA","Business Associate",14503,"Hacking/IT Incident","Network Server",3,2024
"Emergency Medical Services Authority","OK","Healthcare Provider",611743,"Hacking/IT Incident","Network Server",3,2024
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider",1408,"Hacking/IT Incident","Email",3,2024
"Lakewood Medical Center, PC","CO","Healthcare Provider",2500,"Hacking/IT Incident","Network Server",3,2024
"M&D Capital Premier Billing LLC","NY","Business Associate",284326,"Hacking/IT Incident","Network Server",3,2024
"City of Conneaut","OH","Healthcare Provider",771,"Hacking/IT Incident","Email",3,2024
"Battle Mountain General Hospital","NV","Healthcare Provider",3000,"Hacking/IT Incident","Desktop Computer, Network Server",3,2024
"Pomona Valley Hospital Medical Center","CA","Healthcare Provider",13345,"Hacking/IT Incident","Network Server",3,2024
"Western New York Independent Living, Inc.","NY","Healthcare Provider",2886,"Hacking/IT Incident","Network Server",3,2024
"Ezras Choilim Health Center, Inc.","NY","Healthcare Provider",59861,"Hacking/IT Incident","Network Server",3,2024
"Valley Oaks Health ","IN","Healthcare Provider",50034,"Hacking/IT Incident","Network Server",3,2024
"Bonney Forge Corporation","PA","Health Plan",672,"Hacking/IT Incident","Network Server",3,2024
"RxBenefits, Inc. ","AL","Business Associate",3396,"Unauthorized Access/Disclosure","Paper/Films",3,2024
"Andor Labs","NC","Healthcare Provider",500,"Theft","Laptop",3,2024
"Sycamore Rehabilitation Services, Inc.","IN","Healthcare Provider",3414,"Hacking/IT Incident","Network Server",3,2024
"Weirton Medical Center","WV","Healthcare Provider",26793,"Hacking/IT Incident","Network Server",3,2024
"Philips Respironics","PA","Business Associate",1125,"Hacking/IT Incident","Network Server",3,2024
"Aveanna Healthcare","GA","Healthcare Provider",65482,"Hacking/IT Incident","Email",3,2024
"Cornerstone Healthcare Group Management Services LLC","KY","Business Associate",500,"Hacking/IT Incident","Network Server",3,2024
"California Correctional Health Care Services","CA","Healthcare Provider",1348,"Unauthorized Access/Disclosure","Email",3,2024
"Bronson Healthcare Group","MI","Healthcare Provider",1597,"Unauthorized Access/Disclosure","Electronic Medical Record",3,2024
"Plymouth Tube Company Employee Benefit Plan","IL","Health Plan",2652,"Hacking/IT Incident","Network Server",3,2024
"A5 PHARMACY INC.","NY","Healthcare Provider",3000,"Hacking/IT Incident","Network Server",3,2024
"Lindsay Municipal Hospital","OK","Healthcare Provider",500,"Hacking/IT Incident","Email",3,2024
"Healthfirst (consisting of those plans under Healthfirst PHSP, Inc., Healthfirst Health Plan, Inc., and Healthfirst Insurance Company, Inc.","NY","Health Plan",6836,"Unauthorized Access/Disclosure","Other",3,2024
"CCM Health","MN","Healthcare Provider",28760,"Hacking/IT Incident","Network Server",3,2024
"R1 RCM Inc.","IL","Business Associate",16121,"Hacking/IT Incident","Network Server",3,2024
"Texas Health and Human Services ","TX","Health Plan",3392,"Unauthorized Access/Disclosure","Email",3,2024
"Rancho Family Medical Group, Inc.","CA","Healthcare Provider",10480,"Hacking/IT Incident","Network Server",3,2024
"Massachusetts Department of Developmental Services","MA","Healthcare Provider",500,"Improper Disposal","Paper/Films",3,2024
"UC San Diego Health Hillcrest- Hillcrest Medical Center","CA","Healthcare Provider",1642,"Hacking/IT Incident","Email",3,2024
"Orsini Pharmaceutical Services, LLC","IL","Healthcare Provider",1433,"Hacking/IT Incident","Email",3,2024
"Gunster, Yoakley, & Stewart, PA","FL","Business Associate",9550,"Hacking/IT Incident","Network Server",3,2024
"Jewish Home Lifecare, Inc. ","NY","Healthcare Provider",501,"Hacking/IT Incident","Network Server",3,2024
"CDC Dental Management, Co., LLC dba Kids Care Dental & Orthodontics","CA","Healthcare Provider",2260,"Hacking/IT Incident","Network Server",3,2024
"Dental Group of Amarillo","TX","Healthcare Provider",3821,"Hacking/IT Incident","Network Server",3,2024
"Orthopedic Associates of Flower Mound PLLC","TX","Healthcare Provider",1759,"Hacking/IT Incident","Email",3,2024
"Seaglass Chiropractic","NJ","Healthcare Provider",650,"Theft","Laptop, Other Portable Electronic Device",3,2024
"University of Wisconsin Hospitals and Clinics Authority ","WI","Healthcare Provider",85902,"Hacking/IT Incident","Email",3,2024
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan",1251,"Hacking/IT Incident","Network Server",3,2024
"Philips Respironics","PA","Business Associate",457152,"Hacking/IT Incident","Network Server",3,2024
"Bay Surgical Specialists, LLC","FL","Healthcare Provider",1505,"Hacking/IT Incident","Network Server",3,2024
"Lake of the Woods County Social Services","MN","Healthcare Provider",537,"Hacking/IT Incident","Network Server",3,2024
"Yakima Valley Radiology, PC","WA","Healthcare Provider",235249,"Hacking/IT Incident","Network Server",3,2024
"Cherry Street Services, Inc. d/b/a Cherry Health ","MI","Healthcare Provider",500,"Hacking/IT Incident","Network Server",2,2024
"DGA-Producer Pension & Health Plans","CA","Health Plan",4211,"Hacking/IT Incident","Network Server",2,2024
"Highland Health Systems","AL","Healthcare Provider",500,"Hacking/IT Incident","Network Server",2,2024
"Kirkland & Ellis LLP","IL","Business Associate",48802,"Hacking/IT Incident","Network Server",2,2024
"Eastern Radiologists, Inc","NC","Healthcare Provider",886746,"Hacking/IT Incident","Network Server",2,2024
"Ada Technologies, Inc. ","OH","Health Plan",2398,"Hacking/IT Incident","Network Server",2,2024
"kmj Health Solutions","MI","Business Associate",2191,"Hacking/IT Incident","Network Server",2,2024
"Littleton Regional Healthcare","NH","Healthcare Provider",12614,"Unauthorized Access/Disclosure","Email",2,2024
"Oakland Community Health Network","MI","Health Plan",607,"Unauthorized Access/Disclosure","Email",2,2024
" Ohio Neurologic Institute","OH","Healthcare Provider",5548,"Theft","Laptop",2,2024
"Northeast Orthopedics and Sports Medicine, PLLC","NY","Healthcare Provider",177101,"Hacking/IT Incident","Network Server",2,2024
"Community Health Group Partnership Plan","CA","Health Plan",708,"Hacking/IT Incident","Network Server",2,2024
"Ascend Healthcare Management LLC","AZ","Healthcare Provider",791,"Hacking/IT Incident","Other",2,2024
"Scurry County Hospital District dba Cogdell Memorial Hospital","TX","Healthcare Provider",86981,"Hacking/IT Incident","Network Server",2,2024
"MedQ, Inc.","TX","Business Associate",54725,"Hacking/IT Incident","Network Server",2,2024
"Bold Quail Holdings, LLC (NewGen Administrative Services, LLC) ","CA","Healthcare Provider",105425,"Hacking/IT Incident","Network Server",2,2024
"UNITE HERE ","NY","Business Associate",791273,"Hacking/IT Incident","Network Server",2,2024
"Santa Clarita Community College District","CA","Health Plan",2324,"Hacking/IT Incident","Network Server",2,2024
"CVS Caremark Part D Services, L.L.C. (“CVS”)","RI","Business Associate",11193,"Unauthorized Access/Disclosure","Paper/Films",2,2024
"Prague Regional Memorial Hospital ","OK","Healthcare Provider",1347,"Hacking/IT Incident","Email",2,2024
"Washington County Hospital and Nursing Home","AL","Healthcare Provider",29346,"Hacking/IT Incident","Network Server",2,2024
"Lamont Hanley & Associates, Inc.","NH","Business Associate",1863,"Hacking/IT Incident","Network Server",2,2024
"Maryville, Inc.","NJ","Healthcare Provider",15503,"Hacking/IT Incident","Email",2,2024
"interventional Pain and Regenerative Medicine","TX","Healthcare Provider",2843,"Unauthorized Access/Disclosure","Paper/Films",2,2024
"East Carolina University’s Brody School of Medicine, a member of the ECU Health affiliated covered entity","NC","Healthcare Provider",19085,"Unauthorized Access/Disclosure","Network Server",2,2024
"Egyptian Health Department ","IL","Healthcare Provider",100000,"Hacking/IT Incident","Network Server",2,2024
"McKenzie County Healthcare System, Inc.","ND","Healthcare Provider",21000,"Unauthorized Access/Disclosure","Email",2,2024
"Hospice of Huntington","WV","Healthcare Provider",9013,"Hacking/IT Incident","Network Server",2,2024
"Dedicated Physicians Group of Texas, PLLC d/b/a Dedicated Senior Medical Center","FL","Healthcare Provider",3441,"Theft","Other",2,2024
"CareFirst BlueCross BlueShield Community Health Plan – District of Columbia","DC","Business Associate",2189,"Unauthorized Access/Disclosure","Network Server",2,2024
"Mental Health Center of North Central Alabama, Inc.","AL","Healthcare Provider",1000,"Hacking/IT Incident","Network Server",2,2024
"CVS Pharmacy, Inc.","RI","Healthcare Provider",1896,"Unauthorized Access/Disclosure","Network Server",2,2024
"Dignity Health Welfare Benefits Plan","CO","Health Plan",744,"Unauthorized Access/Disclosure","Paper/Films",2,2024
"Employee Benefits Corporation of America and Benefit Design Group, Inc.","VA","Health Plan",38912,"Hacking/IT Incident","Network Server",2,2024
"Qualcomm Incorporated","CA","Health Plan",27038,"Hacking/IT Incident","Network Server",2,2024
"Amin Radiology d/b/a Citrus Diagnostic Center ","FL","Healthcare Provider",1273,"Hacking/IT Incident","Network Server",2,2024
"BlueCross BlueShield of Tennessee, Inc. and Volunteer State Health Plan, Inc. d/b/a BlueCare Plus Tennessee","TN","Health Plan",790,"Hacking/IT Incident","Network Server",2,2024
"Lena Pope Home Inc.","TX","Healthcare Provider",3954,"Hacking/IT Incident","Email",2,2024
"Insurance ACE/Humana Inc.","KY","Health Plan",3480,"Unauthorized Access/Disclosure","Paper/Films",2,2024
"North Hill Needham, Inc., North Hill Home Health Care, Inc. and North Hill Employee Dental Plan","MA","Healthcare Provider",1096,"Hacking/IT Incident","Network Server",2,2024
"City of Dubuque Fire Department","IA","Healthcare Provider",1381,"Unauthorized Access/Disclosure","Network Server",2,2024
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider",755,"Hacking/IT Incident","Email",2,2024
"Biomatrix Specialty Pharmacy, LLC ","FL","Healthcare Provider",3640,"Hacking/IT Incident","Network Server",2,2024
"Lexington Health, Inc.","SC","Healthcare Provider",1994,"Hacking/IT Incident","Email, Other",2,2024
"May Institute ","MA","Healthcare Provider",3318,"Hacking/IT Incident","Network Server",2,2024
"Erie Indemnity Company Group Dental Assistance Plan","PA","Health Plan",3122,"Hacking/IT Incident","Network Server",2,2024
"AGC Flat Glass North America, Inc. Welfare Benefits Plan","GA","Health Plan",13079,"Hacking/IT Incident","Network Server",2,2024
"Coleman Professional Services Inc. ","OH","Healthcare Provider",51889,"Hacking/IT Incident","Email",2,2024
"Tiegerman","NY","Healthcare Provider",19000,"Hacking/IT Incident","Network Server",2,2024
"Prime Healthcare Employee Health Plan","CA","Health Plan",101135,"Hacking/IT Incident","Network Server",2,2024
"CBIZ Marks Paneth, LLC","OH","Business Associate",5562,"Hacking/IT Incident","Network Server",2,2024
"Insurance ACE/Humana Inc.","KY","Health Plan",748,"Unauthorized Access/Disclosure","Electronic Medical Record, Network Server, Other",2,2024
"Liberty Hospital","MO","Healthcare Provider",501,"Hacking/IT Incident","Network Server",2,2024
"Medical Management Resource Group, L.L.C.","AZ","Business Associate",2350236,"Hacking/IT Incident","Network Server",2,2024
"The Bengtson Center for Aesthetics and Plastic Surgery","MI","Healthcare Provider",935,"Unauthorized Access/Disclosure","Desktop Computer, Network Server",2,2024
"Spectrum Vision Partners","NY","Business Associate",500,"Hacking/IT Incident","Network Server",2,2024
"Greater Cincinnati Behavioral Health Services ","OH","Healthcare Provider",50000,"Hacking/IT Incident","Network Server",2,2024
"East Side Health District","IL","Healthcare Provider",559,"Hacking/IT Incident","Network Server",2,2024
"Health Alliance Medical Plans","IL","Health Plan",6900,"Hacking/IT Incident","Network Server",2,2024
"Capital Health System, Inc.","NJ","Healthcare Provider",501,"Hacking/IT Incident","Network Server",1,2024
"Crescent Community Health Center","IA","Healthcare Provider",501,"Hacking/IT Incident","Email",1,2024
"Saint Anthony Health Ministries ","IL","Healthcare Provider",500,"Hacking/IT Incident","Network Server",1,2024
"Bay Area Heart Center, PA","FL","Healthcare Provider",11709,"Hacking/IT Incident","Network Server",1,2024
"Veterans Health Administration","DC","Healthcare Provider",46677,"Unauthorized Access/Disclosure","Paper/Films",1,2024
"Allies for Health + Wellbeing ","PA","Healthcare Provider",680,"Hacking/IT Incident","Email, Other",1,2024
"OrthoArkansas, PA Employee Benefit Plan","AR","Health Plan",1270,"Hacking/IT Incident","Network Server",1,2024
"Sun Pain Management, LLC","AZ","Healthcare Provider",2988,"Hacking/IT Incident","Network Server",1,2024
"CNO ACE","IN","Health Plan",65295,"Hacking/IT Incident","Network Server",1,2024
"Kern Regional Center","CA","Healthcare Provider",700,"Unauthorized Access/Disclosure","Email",1,2024
"Artesia General Hospital","NM","Healthcare Provider",1985,"Unauthorized Access/Disclosure","Paper/Films",1,2024
"INTEGRIS Health","OK","Healthcare Provider",2385646,"Hacking/IT Incident","Network Server",1,2024
"Nabholz Construction Company Employee Welfare Health Plan","AR","Health Plan",5326,"Hacking/IT Incident","Network Server",1,2024
"United Regional Health Care System","TX","Healthcare Provider",36900,"Hacking/IT Incident","Network Server",1,2024
"Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (“Marywood”) ","MI","Healthcare Provider",6178,"Hacking/IT Incident","Network Server",1,2024
"FedEx Corporation Group Health Plan","TN","Health Plan",553,"Hacking/IT Incident","Network Server",1,2024
"Webber Chiropractic Sports Clinic, Inc. ","WA","Healthcare Provider",1695,"Hacking/IT Incident","Network Server",1,2024
"Des Moines Orthopaedic Surgeons, P.C.","IA","Business Associate",55055,"Hacking/IT Incident","Network Server",1,2024
"J.D. Gilmour & Co., Inc.","CA","Business Associate",2570,"Hacking/IT Incident","Email",1,2024
"Coastal Hospice & Palliative Care","MD","Healthcare Provider",29100,"Hacking/IT Incident","Network Server",1,2024
"AHS Management Company, Inc.","TN","Business Associate",23686,"Hacking/IT Incident","Network Server",1,2024
"Des Moines Orthopaedic Surgeons, P.C.","IA","Healthcare Provider",307864,"Hacking/IT Incident","Network Server",1,2024
"Catholic Charities of the Archdiocese of Miami, Inc.","FL","Healthcare Provider",1500,"Hacking/IT Incident","Network Server",1,2024
"Omaha Firefighters Healthcare Trust ","NE","Health Plan",3567,"Hacking/IT Incident","Email",1,2024
"Columbus Regional Healthcare System","NC","Healthcare Provider",132887,"Hacking/IT Incident","Network Server",1,2024
"Regence BlueCross BlueShield of Oregon","OR","Health Plan",856,"Unauthorized Access/Disclosure","Paper/Films",1,2024
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs ","MA","Healthcare Provider",846,"Hacking/IT Incident","Email",1,2024
"TGI Direct","MI","Business Associate",11556,"Hacking/IT Incident","Network Server",1,2024
"Brady Martz & Associates PC","ND","Business Associate",7154,"Hacking/IT Incident","Network Server",1,2024
"Dickinson County Health Department","KS","Healthcare Provider",1063,"Unauthorized Access/Disclosure","Desktop Computer",1,2024
"CR Pharmacy Services, Inc. d/b/a CarePro","IA","Healthcare Provider",151499,"Hacking/IT Incident","Network Server",1,2024
"Colorado Ophthalmology Associates, PC","CO","Healthcare Provider",6020,"Hacking/IT Incident","Network Server",1,2024
"HORNE, LLP","MS","Business Associate",170052,"Hacking/IT Incident","Network Server",1,2024
"Azura Vascular Care","PA","Business Associate",348000,"Hacking/IT Incident","Network Server",1,2024
"Lester and Rosalie Anixter Center","IL","Healthcare Provider",500,"Hacking/IT Incident","Email",1,2024
"Pacific Cataract and Laser Institute, Inc., P.C.","WA","Healthcare Provider",9967,"Hacking/IT Incident","Desktop Computer, Laptop, Network Server",1,2024
"Covenant Care California, LLC ","CA","Healthcare Provider",501,"Hacking/IT Incident","Network Server",1,2024
"Summit Medical Group, PLLC","TN","Healthcare Provider",4135,"Hacking/IT Incident","Network Server",1,2024
"Air Methods, LLC","NV","Healthcare Provider",34016,"Theft","Laptop",1,2024
"Family Healthcare Center","ND","Healthcare Provider",6457,"Hacking/IT Incident","Network Server",1,2024
